country,w_both_014_tbtotal_nd,i_both_014_tbtotal_nd,absad_a,absad_b,w_both_all_htb_nd,i_both_all_htb_nd,w_both_all_tb_nd,i_both_all_tb_nd,w_both_all_tbtotal_nd,i_both_all_tbtotal_nd,any0
Pakistan,5821.776972363682,3487.2514854913,39941.33763145357,43269.9446812362,1576.67536688423,344.418338223,44186.439236933,46412.777828504,45763.11460381723,46757.19616672699,FALSE
Bhutan,15.30781888621358,7.6040404446022,129.268881242672,142.19435845877302,23.8904153728924,0.8196328923,120.686284755993,148.97876601108,144.5767001288854,149.79839890338002,FALSE
Solomon Islands,7.82092215251011,2.09407325206223,49.379077847489896,58.251089502586,0,3.7573894617,57.2,56.587773292949,57.2,60.345162754649,TRUE
Armenia,2.73248710700329,0.57491580959201,102.90810836821534,111.020293876069,13.9111964914567,6.080136015538,91.7293989837619,105.51507367012,105.64059547521859,111.595209685658,FALSE
Albania,1.99827039999607,0.13456104972738,9.673162325492491,12.223298512501101,1.52874870952995,0.4113078397,10.1426840159586,11.946551722528,11.67143272548855,12.357859562227999,FALSE
Somalia,1093.2935938384144,797.88498671554,6110.192031547398,6883.22180287898,212.852248824262,503.1940170792,6990.63337656155,7177.9127725154,7203.4856253858125,7681.106789594601,FALSE
Kazakhstan,31.34829451766491,13.2719963300707,1412.6052809133212,1531.702867084636,69.1359630436351,26.2958921556,1374.81761238735,1518.6789712591,1443.953575430985,1544.9748634147002,FALSE
Guatemala,35.384134433420286,23.6702644069816,339.1371538980315,379.125959386705,50.1439528757232,69.1404010946,324.377335455729,333.65582269908,374.5212883314522,402.79622379368,FALSE
Nicaragua,13.264901598411566,4.6777832367098995,166.96509655781813,189.437392106547,28.0019048710788,10.4262502522,152.228093285151,183.68892509106,180.2299981562298,194.11517534326,FALSE
Poland,3.407506143520986,1.52656867249562,559.2828141180333,605.103564830719,18.8065955999115,20.8601608424,543.883724661643,585.76997266081,562.6903202615545,606.63013350321,FALSE
Yemen,223.68709377591006,102.240422012916,1396.7824696486955,1651.91503044171,50.4962956615114,43.8724871572,1569.97326776309,1710.2829652974,1620.4695634246013,1754.1554524546,FALSE
Hungary,0.517484338760848,0.15460863033758,77.22723039098774,84.0593989108999,1.54994012927305,3.1503115551,76.1947746004756,81.063695986137,77.74471472974865,84.21400754123701,FALSE
Slovenia,0,0.041464507502630005,15.551317064562621,16.868442816845896,0.0210711496919809,0.1669546469,15.5302459148706,16.742952677448,15.55131706456258,16.909907324347998,TRUE
Paraguay,31.91863796154636,8.656138257723601,265.5194853376127,321.126147943788,35.1628171525125,76.1752187485,262.275306146646,253.60706745301,297.4381232991585,329.78228620151,FALSE
Portugal,1.96122438307863,0.77484167504731,256.5731957028187,286.334282859795,46.2096226658993,64.6606264651,212.324797419998,222.44849806974,258.5344200858973,287.10912453484,FALSE
Luxembourg,0,0.00871976403708,1.2944117718323152,1.43090116603569,0.387956332689095,0.0644055831,0.90645543914322,1.3752153469728,1.2944117718323152,1.4396209300727998,TRUE
Dominica,0,0.07226511923024,3.3874990223422596,3.73235599522778,0.001449,0.4742269769,3.38749902234226,3.330394137558,3.38894802234226,3.804621114458,TRUE
